 21.79  raw ff93d800 ff8e7400 ff8aba00 ff8b1200 | n=512 bytes=2048 | min=   -83780 max=    62782 mean=  -2876.4 rms=  30244.3 (0.3605% FS) zeros=  0 flat=  1
 22.12  raw 01741200 01419200 012b1400 00fb5e00 | n=512 bytes=2048 | min=     4576 max=   156640 mean=  78565.1 rms=  85116.4 (1.0147% FS) zeros=  0 flat=  1
 22.34  raw 0118ac00 0134c800 01482c00 01448200 | n=512 bytes=2048 | min=   -43792 max=    96598 mean=  34054.8 rms=  47107.8 (0.5616% FS) zeros=  0 flat=  1
 22.56  raw ff270c00 ff362000 ff418a00 ff460c00 | n=512 bytes=2048 | min=  -131748 max=    12734 mean= -44785.3 rms=  54362.0 (0.6480% FS) zeros=  0 flat=  1
 22.89  raw fc4dcc00 fc3c0a00 fc360a00 fc2fca00 | n=512 bytes=2048 | min=  -365966 max=  -193462 mean=-262765.9 rms= 266176.5 (3.1731% FS) zeros=  0 flat=  1
 23.10  raw ff286c00 ff197600 ff225400 ff31d200 | n=512 bytes=2048 | min=   -97316 max=    58180 mean= -34586.5 rms=  45652.4 (0.5442% FS) zeros=  0 flat=  1
 23.32  raw 043c4000 0452f400 047e2200 049ae400 | n=512 bytes=2048 | min=   158750 max=   356452 mean= 238207.9 rms= 242613.8 (2.8922% FS) zeros=  0 flat=  1
 23.65  raw 01751c00 0172b600 01659e00 016e2000 | n=512 bytes=2048 | min=   -24288 max=   108078 mean=  32973.9 rms=  41097.6 (0.4899% FS) zeros=  0 flat=  1
 23.87  raw faf0fa00 fb105400 fb3e2400 fb2a5a00 | n=512 bytes=2048 | min=  -366716 max=  -246838 mean=-304459.2 rms= 305554.8 (3.6425% FS) zeros=  0 flat=  1
 24.09  raw 00025000 000bc800 0002aa00 fffe2600 | n=512 bytes=2048 | min=  -119790 max=    48482 mean= -17396.0 rms=  44725.1 (0.5332% FS) zeros=  0 flat=  2
 24.30  raw 03aac600 03ab6400 03ab2c00 03af4c00 | n=512 bytes=2048 | min=   116724 max=   241484 mean= 167679.5 rms= 169555.9 (2.0213% FS) zeros=  0 flat=  1
 24.63  raw 00d1ee00 00ec7600 00edca00 00fae200 | n=512 bytes=2048 | min=  -113176 max=   116582 mean=  -1347.9 rms=  56450.6 (0.6729% FS) zeros=  0 flat=  1
 24.85  raw ff73c800 ff827000 ff947400 ffa4da00 | n=512 bytes=2048 | min=   -72036 max=    35278 mean= -20878.0 rms=  29067.5 (0.3465% FS) zeros=  0 flat=  1
 25.07  raw ff59fa00 ff521800 ff42c800 ff42fe00 | n=512 bytes=2048 | min=   -62992 max=    67430 mean=  -1881.1 rms=  27633.5 (0.3294% FS) zeros=  0 flat=  1
 25.39  raw 004a7200 003d8400 0044a200 00572400 | n=512 bytes=2048 | min=   -26406 max=    74506 mean=  21131.2 rms=  31569.8 (0.3763% FS) zeros=  0 flat=  1
 25.61  raw 001a4c00 00179200 fffd0400 ffd0a200 | n=512 bytes=2048 | min=   -63290 max=    86174 mean=  19260.8 rms=  45819.9 (0.5462% FS) zeros=  0 flat=  1
 25.83  raw 0084b800 0064f600 004db600 00410a00 | n=512 bytes=2048 | min=   -70218 max=    68496 mean= -10399.4 rms=  30006.0 (0.3577% FS) zeros=  0 flat=  1
 26.16  raw ff681400 ff725000 ff92ac00 ffa9c400 | n=512 bytes=2048 | min=   -53254 max=    75916 mean=   4661.9 rms=  26767.5 (0.3191% FS) zeros=  0 flat=  1
 26.37  raw 00170600 00060000 0006fe00 0014c800 | n=512 bytes=2048 | min=  -105738 max=    75734 mean= -11876.2 rms=  48767.8 (0.5814% FS) zeros=  0 flat=  1
 26.59  raw ff5b8c00 ff63da00 ff703200 ff640400 | n=512 bytes=2048 | min=   -86728 max=    76054 mean= -13953.9 rms=  34932.4 (0.4164% FS) zeros=  0 flat=  1
 26.92  raw ff3cf800 ff48e400 ff525c00 ff5fa200 | n=512 bytes=2048 | min=   -78874 max=     4630 mean= -31370.6 rms=  34878.1 (0.4158% FS) zeros=  0 flat=  1
 27.14  raw fe965800 fe870800 fe7b6c00 fe815600 | n=512 bytes=2048 | min=  -188686 max=   -48142 mean=-132600.9 rms= 137530.3 (1.6395% FS) zeros=  0 flat=  1
 27.35  raw 03b08400 039cce00 03888000 0377b800 | n=512 bytes=2048 | min=    99944 max=   288334 mean= 204942.8 rms= 210648.0 (2.5111% FS) zeros=  0 flat=  1
 27.57  raw 00a26000 0096e400 008b2c00 00856800 | n=512 bytes=2048 | min=   -40526 max=    86992 mean=  22687.5 rms=  35462.4 (0.4227% FS) zeros=  0 flat=  1
 27.91  raw ff93a200 ff970800 ff99dc00 ff99c400 | n=512 bytes=2048 | min=   -61594 max=    80410 mean=  -2056.0 rms=  28364.8 (0.3381% FS) zeros=  0 flat=  1
 28.12  raw fec68600 fec6c600 fed09400 fec5d000 | n=512 bytes=2048 | min=   -96374 max=    25084 mean= -34856.3 rms=  42402.3 (0.5055% FS) zeros=  0 flat=  1
