  1.01  
  1.01  ================================================================
  1.01   SENTINEL  on-device keyword spotting (MFCC + int8 DS-CNN)
  1.01    49 frames x 13 MFCC | hop 20 ms | inference every 200 ms
  1.01    threshold 0.70 | 2-of-2 vote | 6-window refractory
  1.01  ================================================================
  1.01  [ MODEL ] 24536 bytes | arena used 15460 of 49152 | heap free 249144
 35.38  kw 1.000  unk 0.000  sil 0.000  -> keyword | vote 1 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 35.38  kw 0.999  unk 0.000  sil 0.001  -> keyword | vote 2 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 36.39  kw 0.960  unk 0.005  sil 0.035  -> keyword | vote 2 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 36.39  kw 0.414  unk 0.094  sil 0.491  -> silence | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 36.39  kw 0.080  unk 0.095  sil 0.825  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 36.39  kw 0.066  unk 0.290  sil 0.644  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 36.39  kw 0.010  unk 0.113  sil 0.877  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 36.39  kw 0.020  unk 0.329  sil 0.651  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 37.40  kw 0.004  unk 0.088  sil 0.908  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 37.40  kw 0.001  unk 0.055  sil 0.944  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 37.40  kw 0.001  unk 0.049  sil 0.950  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 37.40  kw 0.000  unk 0.034  sil 0.966  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 37.40  kw 0.000  unk 0.042  sil 0.958  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 38.41  kw 0.000  unk 0.020  sil 0.980  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 38.41  kw 0.001  unk 0.108  sil 0.891  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 38.41  kw 0.007  unk 0.581  sil 0.413  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 38.41  kw 0.435  unk 0.516  sil 0.050  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 38.41  kw 0.971  unk 0.024  sil 0.005  -> keyword | vote 1 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 39.42  kw 1.000  unk 0.000  sil 0.000  -> keyword | vote 2 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%   *** SENTINEL ***
 39.42  kw 0.998  unk 0.001  sil 0.001  -> keyword | vote 1 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 39.42  kw 0.651  unk 0.056  sil 0.293  -> keyword | vote 1 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 39.42  kw 0.051  unk 0.211  sil 0.738  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 39.42  kw 0.000  unk 0.037  sil 0.962  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 39.42  kw 0.000  unk 0.019  sil 0.981  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 40.44  kw 0.000  unk 0.019  sil 0.981  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 40.44  kw 0.000  unk 0.037  sil 0.962  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 40.44  kw 0.001  unk 0.075  sil 0.924  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 40.44  kw 0.001  unk 0.061  sil 0.938  -> silence | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 40.44  kw 0.001  unk 0.068  sil 0.931  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
