  1.00  
  1.00  ================================================================
  1.00   SENTINEL  on-device keyword spotting (MFCC + int8 DS-CNN)
  1.00    49 frames x 13 MFCC | hop 20 ms | inference every 200 ms
  1.00    threshold 0.50 | 2 consecutive windows required to fire
  1.00  ================================================================
  3.01  [ MODEL ] 24536 bytes | arena used 15468 of 49152 | heap free 249152
 27.16  kw 0.109  unk 0.436  sil 0.455  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 28.17  kw 0.110  unk 0.190  sil 0.699  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 28.17  kw 0.137  unk 0.646  sil 0.217  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 28.17  kw 0.010  unk 0.100  sil 0.890  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 28.17  kw 0.079  unk 0.765  sil 0.155  -> unknown | run 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 28.17  kw 0.041  unk 0.813  sil 0.145  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 29.18  kw 0.005  unk 0.097  sil 0.898  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 29.18  kw 0.038  unk 0.885  sil 0.077  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 29.18  kw 0.005  unk 0.097  sil 0.898  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 29.18  kw 0.017  unk 0.217  sil 0.765  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 29.18  kw 0.027  unk 0.626  sil 0.348  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 30.19  kw 0.010  unk 0.265  sil 0.725  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 30.19  kw 0.017  unk 0.512  sil 0.471  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 30.19  kw 0.086  unk 0.245  sil 0.670  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 30.19  kw 0.224  unk 0.110  sil 0.667  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 30.19  kw 0.618  unk 0.136  sil 0.245  -> keyword | run 1 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 31.20  kw 0.182  unk 0.341  sil 0.477  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 31.20  kw 0.100  unk 0.241  sil 0.660  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 31.20  kw 0.055  unk 0.626  sil 0.320  -> unknown | run 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 31.20  kw 0.020  unk 0.379  sil 0.601  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 31.20  kw 0.003  unk 0.052  sil 0.945  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 32.20  kw 0.011  unk 0.307  sil 0.682  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 32.20  kw 0.005  unk 0.080  sil 0.915  -> silence | run 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 32.20  kw 0.006  unk 0.140  sil 0.854  -> silence | run 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 32.20  kw 0.051  unk 0.454  sil 0.494  -> silence | run 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 32.20  kw 0.016  unk 0.197  sil 0.787  -> silence | run 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 33.20  kw 0.184  unk 0.678  sil 0.137  -> unknown | run 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 33.20  kw 0.068  unk 0.810  sil 0.122  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 33.20  kw 0.241  unk 0.324  sil 0.435  -> silence | run 0 | feat 1.18 ms  infer 84.15 ms  cpu 48.0%
 33.20  kw 0.143  unk 0.798  sil 0.059  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 33.20  kw 0.143  unk 0.392  sil 0.464  -> silence | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 34.21  kw 0.074  unk 0.511  sil 0.415  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 34.21  kw 0.061  unk 0.892  sil 0.047  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 34.21  kw 0.063  unk 0.928  sil 0.009  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 34.21  kw 0.046  unk 0.649  sil 0.305  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 34.21  kw 0.046  unk 0.942  sil 0.012  -> unknown | run 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 35.22  kw 0.089  unk 0.828  sil 0.082  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 35.22  kw 0.092  unk 0.750  sil 0.159  -> unknown | run 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 35.22  kw 0.021  unk 0.975  sil 0.004  -> unknown | run 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 35.22  kw 0.060  unk 0.921  sil 0.019  -> unknown | run 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 35.22  kw 0.003  unk 0.996  sil 0.000  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 36.23  kw 0.035  unk 0.963  sil 0.002  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 36.23  kw 0.016  unk 0.983  sil 0.001  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 36.23  kw 0.005  unk 0.989  sil 0.005  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 36.23  kw 0.010  unk 0.913  sil 0.077  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 36.23  kw 0.003  unk 0.973  sil 0.024  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 37.24  kw 0.002  unk 0.770  sil 0.228  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 37.24  kw 0.005  unk 0.809  sil 0.186  -> unknown | run 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
