  1.01  
  1.01  ================================================================
  1.01   SENTINEL  on-device keyword spotting (MFCC + int8 DS-CNN)
  1.01    49 frames x 13 MFCC | hop 20 ms | inference every 200 ms
  1.01    threshold 0.70 | 2-of-2 vote | 6-window refractory
  1.01  ================================================================
  1.01  [ MODEL ] 24536 bytes | arena used 15460 of 49152 | heap free 249144
 27.27  kw 0.035  unk 0.855  sil 0.110  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 28.28  kw 0.023  unk 0.891  sil 0.086  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 28.28  kw 0.066  unk 0.903  sil 0.031  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 28.28  kw 0.134  unk 0.698  sil 0.168  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 28.28  kw 0.187  unk 0.779  sil 0.034  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 28.28  kw 0.079  unk 0.865  sil 0.056  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 28.28  kw 0.176  unk 0.776  sil 0.048  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 29.30  kw 0.045  unk 0.930  sil 0.024  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 29.30  kw 0.140  unk 0.820  sil 0.040  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 29.30  kw 0.039  unk 0.748  sil 0.214  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 29.30  kw 0.125  unk 0.771  sil 0.105  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 29.30  kw 0.474  unk 0.300  sil 0.226  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 30.31  kw 0.653  unk 0.084  sil 0.263  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 30.31  kw 0.137  unk 0.228  sil 0.636  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 30.31  kw 0.039  unk 0.204  sil 0.757  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 30.31  kw 0.032  unk 0.350  sil 0.618  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 30.31  kw 0.006  unk 0.274  sil 0.721  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 31.32  kw 0.025  unk 0.718  sil 0.257  -> unknown | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 31.32  kw 0.420  unk 0.282  sil 0.298  -> keyword | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 31.32  kw 0.266  unk 0.237  sil 0.497  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 31.32  kw 0.149  unk 0.198  sil 0.654  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 31.32  kw 0.092  unk 0.153  sil 0.755  -> silence | vote 0 | feat 1.18 ms  infer 84.13 ms  cpu 48.0%
 32.33  kw 0.117  unk 0.576  sil 0.308  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
 32.33  kw 0.053  unk 0.921  sil 0.025  -> unknown | vote 0 | feat 1.18 ms  infer 84.14 ms  cpu 48.0%
